variant,date,cash,position_value,equity,open_tickers,open_count
baseline_original,2025-03-17,5216.963885207447,4783.036114792553,10000.0,GEHC,1
baseline_original,2025-03-18,4930.123680266593,4591.572708254152,9521.696388520744,ROP,1
baseline_original,2025-03-19,7283.247425288366,2697.6062340577932,9980.85365934616,ISRG,1
baseline_original,2025-03-20,5743.514446268946,4507.099836482992,10250.614282751938,ROP,1
baseline_original,2025-03-21,4980.135167718384,4819.769131385255,9799.904299103639,BKR,1
baseline_original,2025-03-24,6278.872953769537,4003.008258472627,10281.881212242164,VRTX,1
baseline_original,2025-03-25,4997.7708308918955,4883.809555503005,9881.5803863949,GEHC,1
baseline_original,2025-03-26,4881.915720134845,4511.283710709754,9393.1994308446,CHTR,1
baseline_original,2025-03-27,5049.479727574741,4794.848074340834,9844.327801915575,INSM,1
baseline_original,2025-03-28,4991.137374247873,4373.70562023362,9364.842994481492,FANG,1
baseline_original,2025-03-31,4754.264654087135,4173.2077783709965,8927.472432458131,COST,1
baseline_original,2025-04-01,5158.471809993468,4186.321400301763,9344.79321029523,VRSK,1
baseline_original,2025-04-02,5067.292036293631,3858.869033971423,8926.161070265054,TMUS,1
baseline_original,2025-04-03,5173.406975735072,4138.640997927125,9312.047973662196,VRTX,1
baseline_original,2025-04-04,4616.861638988032,4281.3222348814525,8898.183873869484,MSTR,1
baseline_original,2025-04-07,5105.262987090345,3364.788663290995,8470.05165038134,TMUS,1
baseline_original,2025-04-08,4558.993818934672,3574.5789651175683,8133.57278405224,COST,1
baseline_original,2025-04-09,4702.372211026552,3788.6584695374463,8491.030680563998,VRSK,1
baseline_original,2025-04-10,4099.048719138357,4013.116114471897,8112.164833610254,EA,1
baseline_original,2025-04-11,4572.799255587523,3940.677189469922,8513.476445057444,VRSK,1
baseline_original,2025-04-14,4688.472867129998,4219.071296874439,8907.544164004437,VRTX,1
baseline_original,2025-04-15,4793.753007355902,4535.69828633598,9329.451293691882,TTWO,1
baseline_original,2025-04-16,4438.901738989034,4436.9797260692485,8875.881465058283,INSM,1
baseline_original,2025-04-17,5024.742257912558,4294.837179752651,9319.579437665208,INSM,1
baseline_original,2025-04-21,4552.72295790656,4337.372761783384,8890.095719689944,CSX,1
baseline_original,2025-04-22,5144.382212626282,4179.450783242002,9323.832995868284,ISRG,1
baseline_original,2025-04-23,5856.955627143146,3884.8224470493396,9741.778074192485,TMUS,1
baseline_original,2025-04-24,7550.510546868747,2579.7497720286715,10130.260318897419,LIN,1
baseline_original,2025-04-25,3598.266270052937,6701.387099312785,10299.653369365722,"LIN,TTWO",2
baseline_original,2025-04-28,6460.39050265146,4152.843620443915,10613.234123095375,VRSK,1
baseline_original,2025-04-29,6801.857065523185,4226.661419616581,11028.518485139766,VRSK,1
baseline_original,2025-04-30,6250.736012541101,5200.448614560324,11451.184627101426,ROST,1
baseline_original,2025-05-01,6510.95481347847,5460.274675078989,11971.22948855746,TMUS,1
baseline_original,2025-05-02,6701.343901024666,5815.9130550406935,12517.25695606536,NFLX,1
baseline_original,2025-05-05,6614.124741783947,5321.540908777343,11935.66565056129,VRSK,1
baseline_original,2025-05-06,6444.077724412793,6023.742017026234,12467.819741439027,VRSK,1
baseline_original,2025-05-07,6591.072425528369,6479.121517613281,13070.19394314165,GEHC,1
baseline_original,2025-05-08,7001.261695700287,6716.844399202692,13718.10609490298,CPRT,1
baseline_original,2025-05-09,8274.575424005183,6115.215110818067,14389.790534823249,DASH,1
baseline_original,2025-05-12,8801.544988535072,6199.767057369984,15001.312045905055,ROP,1
baseline_original,2025-05-13,8662.4203308076,6958.868420834457,15621.288751642056,DASH,1
baseline_original,2025-05-14,8260.463805778993,8056.711787946509,16317.1755937255,ISRG,1
baseline_original,2025-05-15,7949.588841778203,7561.915573152648,15511.50441493085,INSM,1
baseline_original,2025-05-16,9139.847017290755,7127.848954955363,16267.695972246118,DASH,1
baseline_original,2025-05-19,8050.314275869877,7504.596800880704,15554.91107675058,ORLY,1
baseline_original,2025-05-20,8638.989734706713,7666.381022131941,16305.370756838653,COST,1
baseline_original,2025-05-21,7835.833174991885,7702.899479633574,15538.732654625459,ROST,1
baseline_original,2025-05-22,8347.182151067178,7961.840451521639,16309.022602588817,ADSK,1
baseline_original,2025-05-23,8395.318085582723,7117.520471853929,15512.838557436651,VRSK,1
baseline_original,2025-05-27,8446.578937931083,7778.0116666909635,16224.590604622046,TRI,1
baseline_original,2025-05-28,10057.473687367168,6944.918083923974,17002.391771291143,MSTR,1
baseline_original,2025-05-29,8933.927582302627,8762.955997380914,17696.88357968354,TMUS,1
baseline_original,2025-05-30,13436.276491328128,5136.902688093504,18573.179179421633,AXON,1
baseline_original,2025-06-02,9810.516148933943,9276.353299297041,19086.869448230984,TMUS,1
baseline_original,2025-06-03,10022.696395349423,9991.808382811269,20014.50477816069,CTAS,1
baseline_original,2025-06-04,10821.652095034855,10192.033521406966,21013.68561644182,AXON,1
baseline_original,2025-06-05,11772.455374718116,10260.433593864404,22032.88896858252,AXON,1
baseline_original,2025-06-06,11102.851530887374,9903.994078308706,21006.84560919608,VRSK,1
baseline_original,2025-06-09,10117.562205925627,9898.88399543958,20016.44620136521,TRI,1
baseline_original,2025-06-10,9847.105795990874,9179.452005830377,19026.55780182125,TMUS,1
baseline_original,2025-06-11,9074.48120897825,9034.131392259966,18108.612601238216,VRSK,1
baseline_original,2025-06-12,10017.343364423137,8994.682376041073,19012.02574046421,FANG,1
baseline_original,2025-06-13,12174.757424398227,7736.736553670093,19911.49397806832,AXON,1
baseline_original,2025-06-16,10882.44536321841,9802.722270216918,20685.16763343533,INSM,1
baseline_original,2025-06-17,11440.124175635643,10225.31568482138,21665.439860457023,AXON,1
baseline_original,2025-06-18,10324.04720235249,10318.861089622393,20642.908291974883,GEHC,1
baseline_original,2025-06-20,11943.41128852728,7667.610894485362,19611.022183012643,AXON,1
baseline_original,2025-06-23,9706.504797397614,9137.756296166492,18844.261093564106,GILD,1
baseline_original,2025-06-24,10370.611094968304,9387.42562821245,19758.036723180754,VRSK,1
baseline_original,2025-06-25,9447.708877264988,9371.585283094522,18819.29416035951,GILD,1
baseline_original,2025-06-26,10266.038947846011,9490.413740822953,19756.452688668964,DASH,1
baseline_original,2025-06-27,11413.872351985568,7393.5389626011,18807.41131458667,AXON,1
baseline_original,2025-06-30,10117.818621033135,9428.946589813646,19546.76521084678,AXON,1
baseline_original,2025-07-01,9334.349739993932,9269.520811871485,18603.870551865417,BKR,1
baseline_original,2025-07-02,10121.668165607098,9409.154467445467,19530.822633052565,TRI,1
baseline_original,2025-07-03,10274.90216064538,10196.835919151732,20471.738079797113,VRSK,1
baseline_original,2025-07-07,11291.20655912891,10200.215112583377,21491.421671712287,AXON,1
baseline_original,2025-07-08,10242.750387318505,10228.649773135443,20471.400160453948,ROP,1
baseline_original,2025-07-09,10485.274879009206,8963.260304131198,19448.535183140404,DASH,1
baseline_original,2025-07-10,9314.96126923463,9237.247883492655,18552.209152727286,CTAS,1
baseline_original,2025-07-11,994.4746749211245,17478.264995794918,18472.739670716044,"CTAS,DASH",2
baseline_original,2025-07-14,10923.67865596681,9846.166338715724,20769.844994682535,TTWO,1
